2021.6.22 19:04:51:728   leftController:(-0.33, 1.20, 0.39)  rightController:(-0.07, 1.20, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.22, 1.65, 0.13)  leftControllerVel:(-0.05, -0.15, 0.03)  rightControllerVel:(-0.13, 0.18, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:744   leftController:(-0.33, 1.20, 0.39)  rightController:(-0.08, 1.20, 0.39)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.22, 1.65, 0.13)  leftControllerVel:(-0.04, -0.16, 0.04)  rightControllerVel:(-0.13, 0.20, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:767   leftController:(-0.33, 1.20, 0.40)  rightController:(-0.08, 1.21, 0.39)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.22, 1.65, 0.13)  leftControllerVel:(-0.05, -0.14, 0.04)  rightControllerVel:(-0.13, 0.23, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:791   leftController:(-0.33, 1.19, 0.40)  rightController:(-0.08, 1.21, 0.39)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.22, 1.65, 0.13)  leftControllerVel:(-0.06, -0.13, 0.04)  rightControllerVel:(-0.13, 0.26, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:814   leftController:(-0.34, 1.19, 0.40)  rightController:(-0.08, 1.22, 0.39)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.22, 1.64, 0.13)  leftControllerVel:(-0.06, -0.11, 0.04)  rightControllerVel:(-0.13, 0.25, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:832   leftController:(-0.34, 1.19, 0.40)  rightController:(-0.09, 1.22, 0.39)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.23, 1.64, 0.13)  leftControllerVel:(-0.05, -0.08, 0.04)  rightControllerVel:(-0.12, 0.22, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:859   leftController:(-0.34, 1.19, 0.40)  rightController:(-0.09, 1.23, 0.39)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.23, 1.64, 0.13)  leftControllerVel:(-0.03, 0.00, 0.03)  rightControllerVel:(-0.11, 0.16, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:874   leftController:(-0.34, 1.19, 0.40)  rightController:(-0.09, 1.23, 0.39)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.23, 1.64, 0.13)  leftControllerVel:(-0.01, 0.05, 0.02)  rightControllerVel:(-0.10, 0.12, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:889   leftController:(-0.34, 1.19, 0.40)  rightController:(-0.09, 1.23, 0.39)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.23, 1.64, 0.13)  leftControllerVel:(0.01, 0.08, 0.01)  rightControllerVel:(-0.09, 0.06, 0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:907   leftController:(-0.34, 1.19, 0.40)  rightController:(-0.09, 1.23, 0.39)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.23, 1.64, 0.14)  leftControllerVel:(0.02, 0.14, 0.01)  rightControllerVel:(-0.08, -0.01, 0.09)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
