2021.10.23 14:53:44:13   leftController:(0.01, 1.11, 0.25)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.60, 0.03)  leftControllerVel:(-0.05, -0.20, 0.09)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.04, 0.01)
2021.10.23 14:53:44:25   leftController:(0.01, 1.11, 0.25)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.60, 0.03)  leftControllerVel:(-0.02, -0.22, 0.08)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.05, 0.01)
2021.10.23 14:53:44:35   leftController:(0.01, 1.11, 0.25)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.60, 0.03)  leftControllerVel:(-0.02, -0.22, 0.08)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.05, 0.01)
2021.10.23 14:53:44:46   leftController:(0.01, 1.10, 0.26)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.60, 0.03)  leftControllerVel:(-0.01, -0.23, 0.06)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.05, 0.01)
2021.10.23 14:53:44:57   leftController:(0.01, 1.10, 0.26)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.06, 0.21)  headset:(-0.10, 1.60, 0.03)  leftControllerVel:(-0.01, -0.23, 0.04)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.05, 0.01)
2021.10.23 14:53:44:69   leftController:(0.01, 1.10, 0.26)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.06, 0.21)  headset:(-0.10, 1.60, 0.03)  leftControllerVel:(-0.03, -0.23, 0.03)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.05, 0.01)
2021.10.23 14:53:44:80   leftController:(0.01, 1.10, 0.26)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.06, 0.21)  headset:(-0.10, 1.60, 0.03)  leftControllerVel:(-0.05, -0.23, 0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.05, 0.00)
2021.10.23 14:53:44:91   leftController:(0.01, 1.09, 0.26)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.06, 0.21)  headset:(-0.10, 1.60, 0.03)  leftControllerVel:(-0.07, -0.22, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.05, 0.00)
2021.10.23 14:53:44:102   leftController:(0.01, 1.09, 0.26)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.06, 0.21)  headset:(-0.10, 1.60, 0.03)  leftControllerVel:(-0.11, -0.22, -0.03)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.02, 0.05, 0.00)
2021.10.23 14:53:44:113   leftController:(0.01, 1.09, 0.25)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.06, 0.21)  headset:(-0.11, 1.59, 0.03)  leftControllerVel:(-0.13, -0.21, -0.04)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.02, 0.05, -0.01)
