2021.6.22 19:07:17:711   leftController:(-0.41, 1.08, 0.33)  rightController:(-0.09, 1.16, 0.31)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.25, 1.63, 0.07)  leftControllerVel:(0.09, 0.20, -0.14)  rightControllerVel:(0.22, 0.00, 0.14)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:722   leftController:(-0.41, 1.09, 0.33)  rightController:(-0.09, 1.16, 0.32)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.25, 1.63, 0.07)  leftControllerVel:(0.09, 0.20, -0.13)  rightControllerVel:(0.24, 0.00, 0.14)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:733   leftController:(-0.41, 1.09, 0.33)  rightController:(-0.08, 1.16, 0.32)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.63, 0.08)  leftControllerVel:(0.10, 0.19, -0.12)  rightControllerVel:(0.28, -0.02, 0.16)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:745   leftController:(-0.40, 1.09, 0.33)  rightController:(-0.08, 1.16, 0.32)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.63, 0.08)  leftControllerVel:(0.10, 0.16, -0.11)  rightControllerVel:(0.30, -0.02, 0.17)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:756   leftController:(-0.40, 1.09, 0.33)  rightController:(-0.08, 1.16, 0.32)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.63, 0.08)  leftControllerVel:(0.10, 0.14, -0.10)  rightControllerVel:(0.32, -0.03, 0.18)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:766   leftController:(-0.40, 1.09, 0.33)  rightController:(-0.07, 1.16, 0.32)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.63, 0.08)  leftControllerVel:(0.09, 0.10, -0.08)  rightControllerVel:(0.33, -0.04, 0.19)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:778   leftController:(-0.40, 1.09, 0.33)  rightController:(-0.07, 1.16, 0.33)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.63, 0.08)  leftControllerVel:(0.08, 0.06, -0.06)  rightControllerVel:(0.32, -0.04, 0.19)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:788   leftController:(-0.40, 1.09, 0.33)  rightController:(-0.07, 1.16, 0.33)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.63, 0.08)  leftControllerVel:(0.05, 0.02, -0.03)  rightControllerVel:(0.30, -0.03, 0.19)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:800   leftController:(-0.40, 1.09, 0.33)  rightController:(-0.06, 1.16, 0.33)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.63, 0.08)  leftControllerVel:(0.02, 0.00, -0.02)  rightControllerVel:(0.29, -0.02, 0.18)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:813   leftController:(-0.40, 1.09, 0.33)  rightController:(-0.06, 1.16, 0.33)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.27, 1.63, 0.08)  leftControllerVel:(-0.03, -0.03, 0.02)  rightControllerVel:(0.26, 0.00, 0.18)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:822   leftController:(-0.40, 1.09, 0.33)  rightController:(-0.06, 1.16, 0.33)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.27, 1.63, 0.08)  leftControllerVel:(-0.05, -0.04, 0.04)  rightControllerVel:(0.24, 0.02, 0.18)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:834   leftController:(-0.40, 1.09, 0.33)  rightController:(-0.06, 1.16, 0.34)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.27, 1.63, 0.08)  leftControllerVel:(-0.09, -0.05, 0.06)  rightControllerVel:(0.23, 0.06, 0.17)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:846   leftController:(-0.40, 1.09, 0.33)  rightController:(-0.05, 1.16, 0.34)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.27, 1.63, 0.08)  leftControllerVel:(-0.12, -0.06, 0.08)  rightControllerVel:(0.23, 0.09, 0.17)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
