2021.6.22 19:07:50:185   leftController:(-0.40, 1.35, 0.29)  rightController:(-0.02, 1.36, 0.29)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.61, 0.11)  leftControllerVel:(-0.51, 1.28, -0.55)  rightControllerVel:(0.04, 0.79, -0.28)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:50:204   leftController:(-0.41, 1.38, 0.28)  rightController:(-0.02, 1.37, 0.29)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.20, 1.61, 0.11)  leftControllerVel:(-0.44, 1.03, -0.50)  rightControllerVel:(-0.01, 0.55, -0.19)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:50:230   leftController:(-0.42, 1.39, 0.27)  rightController:(-0.02, 1.37, 0.29)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.20, 1.61, 0.11)  leftControllerVel:(-0.38, 0.74, -0.37)  rightControllerVel:(-0.08, 0.18, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:50:255   leftController:(-0.43, 1.41, 0.26)  rightController:(-0.02, 1.37, 0.29)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.20, 1.61, 0.10)  leftControllerVel:(-0.35, 0.48, -0.22)  rightControllerVel:(-0.14, -0.14, 0.22)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:50:272   leftController:(-0.44, 1.41, 0.26)  rightController:(-0.03, 1.36, 0.30)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.20, 1.62, 0.10)  leftControllerVel:(-0.32, 0.28, -0.07)  rightControllerVel:(-0.17, -0.35, 0.33)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:50:295   leftController:(-0.44, 1.41, 0.27)  rightController:(-0.03, 1.35, 0.31)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.20, 1.62, 0.09)  leftControllerVel:(-0.27, 0.08, 0.11)  rightControllerVel:(-0.22, -0.65, 0.44)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:50:318   leftController:(-0.45, 1.41, 0.27)  rightController:(-0.04, 1.33, 0.32)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.21, 1.62, 0.09)  leftControllerVel:(-0.20, -0.16, 0.33)  rightControllerVel:(-0.28, -0.94, 0.49)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:50:338   leftController:(-0.45, 1.41, 0.28)  rightController:(-0.04, 1.31, 0.33)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.21, 1.62, 0.08)  leftControllerVel:(-0.12, -0.37, 0.51)  rightControllerVel:(-0.31, -1.13, 0.46)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:50:362   leftController:(-0.45, 1.39, 0.30)  rightController:(-0.05, 1.28, 0.34)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.21, 1.63, 0.08)  leftControllerVel:(-0.01, -0.65, 0.67)  rightControllerVel:(-0.31, -1.24, 0.33)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:50:387   leftController:(-0.45, 1.37, 0.32)  rightController:(-0.06, 1.25, 0.34)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.21, 1.63, 0.07)  leftControllerVel:(0.11, -0.95, 0.75)  rightControllerVel:(-0.27, -1.18, 0.19)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
